OBJECTID,GRIDCODE,Severity,Acres,SHAPE_Length,SHAPE_Area
90,2,Low,0.0016204024697,33.7220095335327,-6.55753613985328
91,1,Unburned,0.339045678138,148.456297820561,-1372.06934407679
92,2,Low,10.5243739896,1219.76908258738,-42590.646441348
93,1,Unburned,0.104205394887,95.7961796489498,-421.703999997117
94,2,Low,0.631956539809,250.564375940852,-2557.4380888424
95,2,Low,1.92186122293,447.603459776898,-7777.50318679252
96,2,Low,0.00588977424543,19.9066226239312,-23.8350707260009
97,2,Low,0.00541919191612,18.7835867296168,-21.9306916083225
98,2,Low,5.0697989832,791.448170758332,-20516.7475923053
99,3,Moderate,0.120255330748,129.605226707493,-486.656966697228
100,2,Low,0.212621310896,177.003815396613,-860.447570171775
